id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag,result
1010056,s#lZ#qEg#YHrN#aoVOf#KwGuFt#SvByDnQ#TpWdJAkRmczIxMPhbCUjiXLe,117.000000,1339.000000,40.000000,0.756250,1,"
minimal: 0 / states: 114 / duration: 0.000124s
history:
/T3-F3-1 /T6-T3-1 /T6-F2-1 /T4-T5-1 /T4-F3-1 /T3-T5-2 /T2-T3-1 /T3-T4-2 /T0-T4-1 /T1-T0-1 
/D:2     /W-T5-1  /D:2     /W-T2-1  /D:2     /W-F0-1  /D:2     /W-T4-1  /T6-T4-1 /T6-T0-1 
/T6-F0-1 /W-T0-1  /W-T0-1  /T4-T0-6 /T4-F2-1 /T4-F1-1 /T5-F2-1 /D:1     /W-T4-1  /D:1     
/W-T0-1  /D:3     /W-T1-1  /D:2     /W-F3-1  /T5-F3-1 /D:1     /W-T6-1  /T5-T6-3 /D:1     
/W-F1-1  /T0-F1-1 /T2-F1-1 /D:1     /W-F0-1  /T0-F0-1 /T2-F0-1 /T2-F2-1 /T0-F3-1 /T6-F2-1 
/T5-F0-1 /T0-F2-1 /W-T2-1  /T1-T2-2 /D:2     /W-T2-1  /T6-T2-4 /T6-F3-1 /D:3     /W-T4-1  
/W-T4-1  /D:1     /W-F1-1  /T2-F1-1 /T0-F1-1 /T2-F2-1 /T5-F2-1 /T5-F0-1 /T2-F1-1 /T5-T4-1 
/T0-F0-1 /W-F1-1  /T2-F2-1 /T2-F1-1 /T4-F2-1 /T2-F2-1 /T0-T4-2 /T0-F1-1 /T0-F2-1 /T2-F1-1 
/T4-T0-4 /T4-F1-1 /T3-T2-1 /T5-T2-1 /R       /D:1     /W-F3-1  /D:1     /W-T2-1  /D:1     
/W-F2-1  /D:1     /W-F0-1  /D:1     /W-F3-1  /T0-F3-1 /T0-F0-1 /T2-F3-1 /T0-F3-1 /T2-F0-1 
/T0-F0-1 /T2-F3-1 /T0-F3-1 /T2-F0-1 
"
1010101,x#ih#KgH#UqLB#GpJRX#dcbOVv#fzkyoYW#nMASINEQjuwsFPtarCmeTDlZ,144.500000,1626.000000,41.000000,0.635802,1,"
minimal: 0 / states: 108 / duration: 0.000122s
history:
/T6-T0-1 /T5-T0-1 /T2-T5-1 /T1-T0-1 /T2-T5-1 /T0-T6-4 /D:1     /W-F2-1  /D:1     /W-T0-1  
/T6-T0-5 /T6-F2-1 /T4-T6-1 /D:1     /W-F0-1  /T3-F0-1 /D:3     /W-F3-1  /D:3     /W-T2-1  
/D:1     /W-T1-1  /D:1     /W-T6-1  /T5-T6-3 /T5-F3-1 /D:1     /W-T6-1  /T4-T6-1 /T1-T4-2 
/D:2     /W-F3-1  /D:1     /W-T0-1  /D:1     /W-F1-1  /T5-F1-1 /T5-F1-1 /T5-F1-1 /D:2     
/W-F0-1  /D:1     /W-T1-1  /T6-T1-8 /T4-T6-3 /T4-F2-1 /T6-T3-4 /T6-T5-1 /W-T6-1  /T6-T0-2 
/D:1     /W-F1-1  /D:1     /W-T3-1  /W-T3-1  /W-F3-1  /T1-F3-1 /D:1     /W-F0-1  /W-F0-1  
/T3-F0-1 /T4-F0-1 /W-T2-1  /W-F3-1  /T3-F3-1 /T1-T3-2 /T1-F0-1 /T2-F0-1 /D:1     /W-T5-1  
/T2-T5-2 /D:1     /W-T2-1  /T3-T2-7 /T3-F2-1 /T0-F2-1 /T0-F1-1 /T2-F2-1 /T0-F2-1 /T2-F1-1 
/T0-F1-1 /T2-F2-1 /T2-F1-1 /T3-F3-1 /T0-F2-1 /T1-F3-1 /T0-F3-1 /T1-F2-1 /T2-F0-1 /T1-F3-1 
/T5-F1-1 /T0-F2-1 /T2-F1-1 /T1-F2-1 /T5-F0-1 /T0-F3-1 /T2-F0-1 /T2-F3-1 /T5-F1-1 /T0-F0-1 
/T1-F1-1 /T5-F2-1 
"
1010116,n#tN#elg#TVqb#jWpLP#MxYRvi#UrJyuSB#CmOEXdaADzQIHGFokhswfZcK,170.500000,2989.000000,38.000000,0.773196,1,"
minimal: 0 / states: 106 / duration: 0.000152s
history:
/T0-F2-1 /T1-F3-1 /T6-T4-1 /T6-T1-1 /T6-T5-1 /T2-T5-1 /D:2     /W-T0-1  /T6-T0-1 /T5-T6-3 
/D:1     /W-F3-1  /D:1     /W-T1-1  /D:1     /W-T0-1  /T6-T0-4 /D:1     /W-T1-1  /W-T1-1  
/T3-T1-1 /T4-T3-2 /D:1     /W-F1-1  /T1-F1-1 /D:1     /W-F0-1  /T3-F0-1 /T1-F0-1 /T3-F3-1 
/D:1     /W-F0-1  /T1-T6-1 /T1-F0-1 /T6-T1-2 /T1-T6-4 /T6-T5-5 /D:1     /W-T1-1  /T2-T1-1 
/T3-T2-1 /D:1     /W-F3-1  /D:2     /W-T3-1  /D:2     /W-F0-1  /W-F0-1  /T3-F0-1 /W-F0-1  
/D:1     /W-F2-1  /D:1     /W-T4-1  /D:2     /W-T0-1  /T2-T0-2 /D:1     /W-T4-1  /T3-T4-1 
/D:2     /W-T2-1  /T4-T2-4 /T4-F2-1 /T5-T4-6 /T5-F3-1 /T0-F2-1 /D:1     /W-F1-1  /T4-F1-1 
/T0-F1-1 /T4-F2-1 /T0-F2-1 /T4-F3-1 /T3-F3-1 /W-F1-1  /T0-F1-1 /T4-F2-1 /T0-F2-1 /T4-F3-1 
/T2-F3-1 /W-F1-1  /T0-F1-1 /T0-F0-1 /T4-F2-1 /T2-F2-1 /T4-F3-1 /T0-F3-1 /T4-F1-1 /T2-F1-1 
/T5-F3-1 /T5-F2-1 /T0-F2-1 /T1-F1-1 /T1-F2-1 /T0-F1-1 /D:1     /W-F0-1  /T2-F0-1 /T2-F3-1 
/T5-F0-1 
"
1010119,E#WV#ivP#XFTp#nwHaN#hjGIAQ#rxKufLc#ybzBoSYkdeOURZsJmqtDMglC,105.500000,1206.000000,36.000000,0.702899,1,"
minimal: 0 / states: 104 / duration: 0.000121s
history:
/T4-F3-1 /T4-F1-1 /T5-T0-1 /T5-F0-1 /T3-T0-1 /T3-T4-1 /T4-T1-2 /T1-T4-3 /T5-T1-1 /T3-T4-1 
/T4-T3-5 /T4-F2-1 /D:2     /W-F1-1  /T6-F1-1 /T3-T6-6 /D:1     /W-T3-1  /D:1     /W-F0-1  
/D:1     /W-F2-1  /T0-F2-1 /D:1     /W-T5-1  /T0-T5-2 /D:1     /W-T3-1  /D:2     /W-F1-1  
/D:1     /W-F1-1  /D:1     /W-F3-1  /T2-F3-1 /T5-F3-1 /D:1     /W-T1-1  /T5-T1-3 /T2-T5-1 
/D:1     /W-F3-1  /D:1     /W-T0-1  /T6-T0-7 /T6-F1-1 /T6-T2-1 /T6-T3-1 /T5-T3-2 /T1-T6-6 
/T5-T3-1 /D:3     /W-T1-1  /D:1     /W-F2-1  /D:1     /W-T3-1  /D:2     /W-T4-1  /D:1     
/W-F1-1  /D:1     /W-T4-1  /T6-T4-7 /T6-F2-1 /D:1     /W-F0-1  /W-F0-1  /T4-F0-1 /T0-F0-1 
/T4-F3-1 /T4-F0-1 /T0-F3-1 /T0-F0-1 /T4-F3-1 /T0-F3-1 /T4-F0-1 /T4-F3-1 /W-F0-1  /W-F2-1  
/T3-F2-1 /T2-F2-1 /T3-F1-1 /T2-F1-1 /T3-F2-1 /T0-F2-1 /T0-F3-1 /T3-F1-1 /T3-F0-1 /T4-F2-1 
/T3-F3-1 /W-F1-1  /T0-F0-1 /T4-F1-1 /T4-F0-1 /W-F2-1  /T0-F3-1 /T1-F1-1 /T3-F2-1 
"
1010157,c#Ew#CSs#tIyQ#zDpxa#JPgGvj#lKNdmVM#rORFUYiHonWLZubTkqfABXhe,159.000000,1486.000000,38.000000,0.640449,1,"
minimal: 0 / states: 116 / duration: 0.000124s
history:
/T4-F1-1 /T5-T4-1 /T5-T4-1 /D:3     /W-T2-1  /D:2     /W-T4-1  /T5-T4-1 /T2-T5-2 /T2-T4-1 
/T2-T3-1 /T6-T2-1 /T6-T1-1 /D:1     /W-T2-1  /T4-T2-6 /D:2     /W-T1-1  /T5-T1-3 /D:1     
/W-T0-1  /D:1     /W-F2-1  /T0-F2-1 /T4-F2-1 /T4-T1-1 /T5-T1-1 /W-T5-1  /D:2     /W-T6-1  
/D:2     /W-T5-1  /D:1     /W-F1-1  /T0-F1-1 /T6-T0-2 /T6-F1-1 /T6-F3-1 /D:1     /W-T5-1  
/D:1     /W-T0-1  /T1-T0-8 /T3-T1-2 /T1-T2-3 /W-T1-1  /T3-T1-1 /W-T6-1  /T3-T6-1 /W-T5-1  
/W-F3-1  /T0-F3-1 /D:1     /W-F2-1  /W-F2-1  /T0-T5-2 /T0-F2-1 /T3-F2-1 /D:2     /W-F0-1  
/D:1     /W-F0-1  /T2-F0-1 /T2-F3-1 /T5-F0-1 /T2-F0-1 /T5-F3-1 /T2-F3-1 /T5-F0-1 /T5-F3-1 
/T2-F0-1 /T2-F3-1 /T5-F2-1 /T2-F2-1 /T0-T5-2 /T0-F3-1 /T0-F2-1 /T6-T2-1 /T6-F3-1 /T2-T6-2 
/T2-F2-1 /T6-T2-3 /T1-F2-1 /T4-F2-1 /T5-T0-4 /D:1     /W-F3-1  /T2-T6-3 /T2-F3-1 /T1-F3-1 
/T6-T2-4 /D:1     /W-T2-1  /D:1     /W-F1-1  /W-F1-1  /T0-F1-1 /T0-F0-1 /T2-F1-1 /T0-F1-1 
/T2-F0-1 /T0-F0-1 /T2-F1-1 /T0-F1-1 /T2-F0-1 /T0-F0-1 /T2-F1-1 /T0-F1-1 /T2-F0-1 
"
1010162,f#Tv#yAo#sHBk#PVEZj#FOpItN#RUDrlMn#ewgczaiWQhYudJLCGxqbSKXm,136.000000,3570.000000,55.000000,0.555556,1,"
minimal: 0 / states: 123 / duration: 0.000136s
history:
/T5-F3-1 /T6-F2-1 /T2-F2-1 /T2-F0-1 /T3-T2-1 /T3-F0-1 /T1-T4-1 /T0-T5-1 /T6-T0-1 /T6-T0-1 
/T6-T5-1 /T1-T3-1 /D:2     /W-T2-1  /D:2     /W-T6-1  /D:1     /W-T1-1  /D:1     /W-F1-1  
/D:1     /W-T2-1  /T3-T2-2 /T3-T2-1 /D:2     /W-T5-1  /D:1     /W-T4-1  /T5-T4-4 /D:1     
/W-T1-1  /D:5     /W-F0-1  /D:2     /W-T0-1  /T4-T0-7 /T4-T3-1 /T2-T3-7 /D:2     /W-F1-1  
/T6-F1-1 /T6-F0-1 /T4-F0-1 /T6-T5-1 /W-T6-1  /W-T5-1  /T6-T3-2 /D:1     /W-T5-1  /D:1     
/W-T1-1  /D:2     /W-T2-1  /R       /D:3     /W-T1-1  /T5-T1-4 /T5-F2-1 /T5-F3-1 /T3-F2-1 
/T5-F0-1 /D:1     /W-T4-1  /W-T4-1  /D:1     /W-F1-1  /W-F1-1  /T0-T1-2 /T0-F1-1 /T4-F1-1 
/T1-T0-3 /T1-F0-1 /T0-T1-4 /T0-F1-1 /T3-T4-3 /T3-F0-1 /T3-F1-1 /T4-T3-5 /T4-F3-1 /T1-F3-1 
/T1-F2-1 /T3-F3-1 /T1-F3-1 /T3-F2-1 /T1-F2-1 /T3-F3-1 /T1-F3-1 /T1-F0-1 /T3-F2-1 /T0-F2-1 
/T0-F1-1 /T3-F3-1 /T1-F3-1 /T3-F2-1 /T0-F2-1 /T3-F1-1 /T0-F1-1 /T2-F1-1 /T3-F2-1 /T1-T0-2 
/T1-F2-1 /D:1     /W-F0-1  /T0-F0-1 /D:1     /W-F0-1  /D:1     /W-F3-1  /T0-F3-1 /T0-F0-1 
/T3-F3-1 
"
1010176,W#Iy#Tko#htwa#RDjQs#AMZpmn#rONYgCv#zfVFHBxuUSbEqedLlicJXKPG,142.000000,3571.000000,55.000000,0.528090,1,"
minimal: 0 / states: 120 / duration: 0.000157s
history:
/T3-F1-1 /T5-F2-1 /T2-F2-1 /T6-T0-1 /T3-T2-1 /T1-T5-1 /T2-T5-2 /T4-T2-1 /T6-T4-1 /D:2     
/W-T3-1  /D:1     /W-T5-1  /D:1     /W-T6-1  /D:1     /W-T5-1  /T6-T5-2 /D:2     /W-T6-1  
/T0-T6-2 /T5-T0-8 /T5-F2-1 /D:2     /W-T1-1  /T3-T1-2 /T3-T6-1 /T5-T3-1 /T6-T5-5 /T6-F3-1 
/T6-F3-1 /T4-T6-2 /T1-T4-4 /T5-T1-6 /T5-F0-1 /T6-T4-3 /D:2     /W-F1-1  /D:2     /W-F2-1  
/D:1     /W-T0-1  /D:2     /W-T3-1  /D:3     /W-F1-1  /D:2     /W-T3-1  /W-T3-1  /W-T3-1  
/D:2     /W-F3-1  /D:1     /W-T1-1  /R       /D:1     /W-T5-1  /D:1     /W-F0-1  /T4-F0-1 
/T4-F3-1 /T4-F2-1 /T2-F2-1 /T4-T1-1 /T4-F2-1 /D:1     /W-F2-1  /D:2     /W-T1-1  /D:1     
/W-F1-1  /T0-F1-1 /D:1     /W-T5-1  /D:1     /W-T5-1  /T4-T5-3 /T4-F0-1 /T1-F0-1 /T1-F1-1 
/T4-F3-1 /T0-F0-1 /T0-F1-1 /W-F3-1  /T1-F0-1 /T1-F1-1 /T2-F3-1 /T0-F0-1 /T3-F1-1 /T5-F3-1 
/T0-F3-1 /T1-F2-1 /T0-F2-1 /T5-F0-1 /T1-F3-1 /T3-F0-1 /T3-F3-1 /T5-F1-1 /T0-F1-1 /T1-F2-1 
/T0-F2-1 /T5-F0-1 /T1-F3-1 /T3-F0-1 /T3-F3-1 /T5-F1-1 /T0-F1-1 /T1-F0-1 /T5-F2-1 
"
1010177,b#PZ#JNg#FiBh#IORca#SDYurf#EpzeQGA#HLlVvmXsdjKTytkoCWUwnqMx,108.000000,952.000000,39.000000,0.694030,1,"
minimal: 0 / states: 126 / duration: 0.000137s
history:
/T4-F1-1 /T0-F1-1 /T6-F0-1 /T4-F1-1 /T5-T6-1 /T6-T3-2 /T5-T3-1 /T6-T3-1 /T2-T5-1 /T2-F3-1 
/T1-T0-1 /D:2     /W-T0-1  /D:2     /W-T2-1  /T5-T2-2 /D:3     /W-T0-1  /T2-T0-4 /W-T2-1  
/D:1     /W-T0-1  /T6-T0-1 /T5-T6-1 /T5-T0-1 /T1-T0-1 /T6-T1-2 /T6-T3-1 /T6-T5-1 /D:1     
/W-F1-1  /T0-T4-2 /T0-F1-1 /T4-T0-3 /T4-F3-1 /T3-T4-6 /T3-F0-1 /T0-F3-1 /D:2     /W-T1-1  
/W-T1-1  /W-T1-1  /D:2     /W-T2-1  /D:2     /W-T2-1  /D:2     /W-F0-1  /T0-F0-1 /T5-F0-1 
/T4-T5-3 /T4-F1-1 /T5-T4-4 /D:2     /W-T1-1  /D:1     /W-T2-1  /T3-T2-1 /T3-F0-1 /D:1     
/W-F2-1  /D:1     /W-T0-1  /D:1     /W-T3-1  /D:1     /R       /D:1     /W-T2-1  /D:1     
/W-T3-1  /D:1     /W-T2-1  /T0-T2-3 /T0-F1-1 /T4-T1-5 /T4-F1-1 /D:2     /W-F2-1  /T1-F2-1 
/T1-F3-1 /T2-F2-1 /T1-F2-1 /T2-F3-1 /T1-F3-1 /T1-F0-1 /T2-F2-1 /T2-F3-1 /T2-F0-1 /W-F2-1  
/T0-F2-1 /T1-F3-1 /T0-F3-1 /T1-F2-1 /T2-F1-1 /T2-F2-1 /T4-F0-1 /T0-F0-1 /T1-F1-1 /T2-F1-1 
/T1-F0-1 /T3-F1-1 /T0-T2-1 /T0-F0-1 /T3-F0-1 /T2-T0-2 /T2-F1-1 /D:1     /W-F3-1  /T0-F3-1 
/T1-F3-1 /D:1     /W-F2-1  /T0-F2-1 /T0-F3-1 /T1-F2-1 
"
1010183,B#qo#XeG#ZgLn#YwMhc#fxrtHE#kyWumPa#OpFNidQCSJRDATUjvlszIbKV,112.500000,1682.000000,35.000000,0.801205,1,"
minimal: 0 / states: 108 / duration: 0.000135s
history:
/T3-F2-1 /T1-F2-1 /T6-F1-1 /T6-T1-1 /T3-T6-1 /T0-T1-1 /T6-T0-2 /T3-T6-1 /D:2     /W-F2-1  
/D:1     /W-T6-1  /D:1     /W-F3-1  /W-F3-1  /T1-T4-1 /T1-F3-1 /T4-T1-2 /T2-T4-1 /T2-T6-1 
/T1-T6-3 /T2-T0-1 /D:2     /W-T5-1  /D:1     /W-F3-1  /D:1     /W-T5-1  /D:1     /W-T4-1  
/T5-T4-3 /D:1     /W-T0-1  /W-T0-1  /T5-T0-1 /D:1     /W-F3-1  /D:2     /W-F0-1  /T6-F0-1 
/T4-F0-1 /W-F0-1  /D:1     /W-T0-1  /D:5     /W-T0-1  /D:1     /W-T1-1  /W-T1-1  /D:2     
/W-F1-1  /T6-F1-1 /T4-F1-1 /T4-F0-1 /T6-F2-1 /T6-F1-1 /T6-F0-1 /T4-F3-1 /T4-F0-1 /T5-T4-1 
/T5-F2-1 /T0-F2-1 /T0-F3-1 /T5-T1-1 /T5-F1-1 /T4-F2-1 /T6-F1-1 /T0-F0-1 /T4-F1-1 /T6-F2-1 
/T0-F1-1 /T4-T2-1 /T6-T1-1 /T6-T3-1 /T4-T6-1 /W-F0-1  /T0-F0-1 /W-F2-1  /W-F1-1  /W-F3-1  
/T6-F2-1 /T6-F1-1 /T1-T4-2 /T1-F1-1 /T4-T1-3 /D:1     /W-F0-1  /T0-T3-1 /T0-F0-1 /T0-F1-1 
/T2-F0-1 /D:1     /W-F3-1  /T1-F3-1 /T1-F2-1 /T3-F3-1 /T1-F3-1 /T3-F2-1 /T1-F2-1 /T3-F3-1 
"
1010198,i#xN#EOH#CutZ#vSQDm#RfyIoL#keMTgXP#nqwJVpWlrABdGKcFjUbashYz,144.500000,3160.000000,45.000000,0.574074,1,"
minimal: 0 / states: 126 / duration: 0.000201s
history:
/T1-F3-1 /T5-T3-1 /T5-T6-1 /T2-T0-1 /T2-F3-1 /D:1     /W-F2-1  /T6-F2-1 /T6-F3-1 /T6-T3-1 
/T6-T0-1 /D:2     /W-T3-1  /T0-T3-3 /T4-T0-1 /D:3     /W-F2-1  /D:1     /W-T1-1  /T5-T1-1 
/T5-T0-1 /T2-T5-1 /T3-T2-7 /T5-T3-2 /T4-T5-1 /T4-F3-1 /D:2     /W-T4-1  /D:1     /W-F0-1  
/D:1     /W-F0-1  /D:1     /W-T3-1  /D:3     /W-T5-1  /D:1     /W-T2-1  /T5-T2-3 /D:2     
/W-T1-1  /T3-T1-4 /T6-T3-1 /T6-T5-1 /T2-T6-2 /T2-F3-1 /T6-T2-3 /T6-T0-1 /D:2     /W-F1-1  
/W-F1-1  /T2-F1-1 /T1-F1-1 /D:1     /W-T3-1  /D:2     /W-T5-1  /T1-T5-7 /D:1     /W-T1-1  
/R       /D:1     /W-F2-1  /T4-F2-1 /T4-F3-1 /T3-F2-1 /T3-F3-1 /D:1     /W-T0-1  /D:1     
/W-T0-1  /T3-T0-1 /T3-F0-1 /T2-F0-1 /T2-F1-1 /T5-F0-1 /T2-F0-1 /T5-F1-1 /T2-F1-1 /T5-F2-1 
/T0-F2-1 /T4-F2-1 /T5-F3-1 /T0-F3-1 /T2-T0-2 /T2-F2-1 /D:1     /W-T1-1  /D:1     /W-F0-1  
/T0-F0-1 /T5-F0-1 /T5-F3-1 /T2-F3-1 /T5-F2-1 /T5-F3-1 /T0-T2-3 /T0-F2-1 /T1-T5-1 /T1-F2-1 
/T2-T0-4 /T2-F3-1 /D:1     /W-T5-1  /D:1     /W-T5-1  /D:1     /W-F1-1  /T0-F1-1 /T0-F0-1 
/T5-F1-1 /T0-F1-1 /T5-F0-1 /T0-F0-1 /T5-F1-1 /T0-F1-1 /T5-F0-1 
"
