id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag,result
16010001,n#Lm#zpo#JjKl#feGih#sEvWqN#aAbtCQc#RgXHTDwUxuYMrZVFOBSIykPd,117.000000,1123.000000,35.000000,0.715190,1,"
minimal: 0 / states: 120 / duration: 0.000119s
history:
/T0-F2-1 /T2-F2-1 /T5-F3-1 /T2-F2-1 /T5-F2-1 /T3-T2-1 /T5-T3-1 /T4-T5-1 /T3-T2-2 /T5-T2-2 
/T1-T0-1 /T1-T0-1 /D:3     /W-T0-1  /D:1     /W-T4-1  /W-T4-1  /D:3     /W-T0-1  /T4-T0-3 
/T4-T2-1 /W-T4-1  /T6-T4-1 /T6-T5-1 /T6-T5-1 /D:5     /W-T1-1  /W-T1-1  /D:1     /W-F2-1  
/D:3     /W-T0-1  /T4-T0-3 /T5-T4-3 /T5-F2-1 /T6-F2-1 /T6-T4-1 /T6-F0-1 /T6-F1-1 /T4-F1-1 
/T0-F1-1 /T4-T2-4 /D:1     /W-F3-1  /D:1     /W-F0-1  /T2-F0-1 /T0-F0-1 /D:2     /W-T3-1  
/D:3     /W-F3-1  /T2-F3-1 /T2-F0-1 /D:1     /W-F1-1  /T0-F1-1 /T2-F1-1 /T0-F0-1 /T0-F1-1 
/T2-F0-1 /T2-F1-1 /T0-F0-1 /T0-F1-1 /T3-F0-1 /T3-F1-1 /T3-F0-1 /W-F1-1  /T2-T1-3 /T2-F1-1 
/R       /D:1     /W-F3-1  /D:2     /W-T1-1  /D:2     /W-F2-1  /D:1     /W-T3-1  /T0-T3-3 
/T0-F1-1 /D:1     /W-T3-1  /D:1     /W-F3-1  /D:1     /R       /D:1     /W-F3-1  /T1-F3-1 
/T1-F2-1 /T3-F3-1 /T1-F3-1 /T1-F0-1 /T3-F2-1 /T3-F3-1 /T3-F0-1 /T1-F3-1 /T1-F0-1 /T3-F3-1 
/D:1     /W-F2-1  /D:1     /W-F2-1  /T2-F2-1 
"
16010422,p#rD#kRG#iznT#OjPKq#hufMaH#JIyXNWU#QCdblextVYFgvSZEwocAsLBm,164.500000,2979.000000,59.000000,0.562500,1,"
minimal: 0 / states: 130 / duration: 0.000146s
history:
/T3-T5-1  /T3-F2-1  /T2-T6-1  /T4-T2-1  /D:4      /W-T0-1   /D:1      /W-T3-1   /T4-T3-1  /T4-T1-1  
/T4-T3-1  /D:6      /W-T5-1   /T2-T5-2  /D:2      /W-T3-1   /T6-T3-2  /D:1      /W-T3-1   /D:2      
/W-T3-1   /D:1      /W-T2-1   /D:1      /W-F2-1   /D:1      /W-T5-1   /D:1      /W-F0-1   /D:3      
/W-F0-1   /D:1      /R        /D:1      /W-T3-1   /T0-T3-2  /T3-T0-12 /T5-T3-6  /T5-F1-1  /T0-F1-1  
/T3-F1-1  /T3-T2-6  /T5-T3-1  /T0-F2-1  /T2-F2-1  /T1-T2-2  /T1-F2-1  /D:1      /W-F0-1   /D:1      
/W-F1-1   /D:1      /W-F1-1   /T5-F1-1  /D:4      /W-T3-1   /D:1      /W-F1-1   /D:1      /W-T1-1   
/D:1      /W-F2-1   /D:1      /W-T1-1   /T2-T1-9  /D:1      /W-T2-1   /R        /D:1      /W-T3-1   
/T6-T3-1  /T6-F3-1  /T4-F3-1  /T1-F3-1  /T0-F3-1  /T1-F0-1  /T0-F0-1  /T1-F3-1  /T0-F3-1  /T1-F0-1  
/T0-F0-1  /T1-F3-1  /T1-F0-1  /T5-T1-1  /T0-F3-1  /T5-F1-1  /D:1      /W-F2-1   /T1-F2-1  /T0-F2-1  
/T1-F1-1  /T0-F1-1  /T1-F2-1  /T1-F1-1  /T6-T1-1  /T6-T2-1  /T6-F0-1  /T6-F0-1  /T0-F0-1  /T0-F1-1  
/T1-T2-1  /T1-F0-1  /T2-T1-2  /T2-F1-1  /T3-T0-3  /T3-F0-1  /D:1      /W-F3-1   /T0-F3-1  /T0-F2-1  
/T1-F3-1  /T0-F3-1  /T1-F2-1  /T0-F2-1  /T1-F3-1  
"
16010423,Q#aK#YPr#IRXf#tvFBC#GjOwqJ#NoLsbVm#MZxSylDThAEzeucWpgUkniHd,138.000000,4005.000000,56.000000,0.544444,1,"
minimal: 0 / states: 133 / duration: 0.000135s
history:
/T4-T0-1 /T2-T3-1 /T4-T2-1 /T0-T3-2 /T6-T0-1 /T6-T5-1 /T6-T3-1 /D:5     /W-T0-1  /D:5     
/W-F0-1  /T2-F0-1 /D:3     /W-T4-1  /D:1     /W-T5-1  /D:2     /W-T1-1  /D:2     /W-T5-1  
/T6-T5-1 /D:2     /W-T0-1  /T5-T0-5 /T5-T4-1 /T2-T4-1 /T1-T2-2 /T1-F1-1 /T3-F1-1 /T3-F0-1 
/D:1     /W-F2-1  /D:1     /W-T5-1  /D:1     /W-T5-1  /D:1     /R       /D:1     /W-T1-1  
/T2-T1-3 /D:1     /W-T2-1  /T6-T2-1 /T6-F2-1 /T6-F3-1 /D:4     /W-F0-1  /D:1     /W-T5-1  
/T4-T5-4 /T4-T1-1 /T3-T4-3 /T5-T3-8 /T5-F3-1 /T3-F3-1 /T3-T2-8 /T3-T0-1 /T4-F3-1 /T0-F3-1 
/T3-T5-1 /D:1     /W-T1-1  /T4-T1-3 /D:1     /W-F0-1  /T2-T0-2 /T2-F0-1 /D:1     /W-T3-1  
/W-T3-1  /W-F3-1  /W-T3-1  /T5-T3-2 /T2-F3-1 /T5-F0-1 /T2-F0-1 /T3-F0-1 /D:1     /W-F1-1  
/D:1     /W-F2-1  /T0-F2-1 /T1-F2-1 /D:1     /W-F3-1  /T0-T2-4 /T0-F3-1 /T0-F0-1 /T1-T3-4 
/T1-F3-1 /T1-F0-1 /T2-T0-6 /T2-F3-1 /T1-F3-1 /T2-F0-1 /T1-F0-1 /T2-F3-1 /D:1     /W-F1-1  
/T0-F1-1 /T0-F2-1 /T3-F1-1 /T0-F1-1 /T3-F2-1 /T0-F2-1 /T3-F1-1 /T0-F1-1 /T3-F2-1 /T0-F2-1 
/T3-F1-1 /T0-F1-1 /T3-F2-1 /T0-F2-1 /T3-F1-1 /T0-F1-1 /T3-F2-1 
"
16010424,O#Ju#oWn#ePYq#DVHwr#kyKmpv#ZhjBsTd#AcRCxMizXlGbNtgaIUQfLEFS,169.500000,2455.000000,53.000000,0.565000,1,"
minimal: 0 / states: 130 / duration: 0.000135s
history:
/T2-F2-1 /T6-T4-1 /T5-T2-1 /T6-T1-1 /T5-T4-1 /T6-T1-1 /T0-T4-1 /T5-T0-1 /T2-T5-2 /T2-F2-1 
/D:1     /W-F0-1  /T6-F0-1 /D:1     /W-T3-1  /D:1     /W-T1-1  /T3-T1-2 /T5-T3-3 /T5-T0-1 
/T5-T0-1 /D:1     /W-F0-1  /D:2     /W-T2-1  /T3-T2-4 /D:2     /W-T5-1  /D:2     /W-T5-1  
/D:3     /W-F3-1  /T4-F3-1 /T3-F3-1 /T4-F2-1 /D:3     /W-F1-1  /D:1     /W-T6-1  /D:1     
/W-T2-1  /D:1     /W-F3-1  /T1-T3-2 /T1-F3-1 /T3-T1-3 /D:5     /W-F3-1  /R       /D:1     
/W-T5-1  /T6-T5-2 /T6-T5-1 /D:3     /W-T2-1  /F3-T2-1 /T4-T2-2 /T4-T0-1 /D:1     /W-F1-1  
/T1-F1-1 /T1-F2-1 /T2-F1-1 /T2-F2-1 /T1-F1-1 /T1-F2-1 /T2-F3-1 /T1-F3-1 /T2-T5-1 /T2-F3-1 
/D:1     /W-F2-1  /T1-F2-1 /T2-F2-1 /T0-F2-1 /T1-T0-1 /D:1     /W-T4-1  /D:1     /W-F1-1  
/T4-F1-1 /D:1     /W-T6-1  /W-T6-1  /W-T0-1  /T4-T0-1 /T4-F3-1 /T4-F0-1 /T2-F3-1 /T6-F3-1 
/T5-T2-4 /T5-F2-1 /T0-T6-4 /T0-F2-1 /T2-T5-5 /T2-F3-1 /T5-T2-6 /T5-F2-1 /T6-T0-5 /T6-F3-1 
/D:1     /W-F0-1  /D:1     /W-F0-1  /T2-F0-1 /T0-F0-1 /T2-F1-1 /T0-F1-1 /T2-F0-1 /T0-F0-1 
/T2-F1-1 /T0-F1-1 /T2-F0-1 /T0-F0-1 /T2-F1-1 /T0-F1-1 /T2-F0-1 
"
16010425,Y#hG#CDz#mkUc#NnMVa#itpgZv#HdTAFQL#jPWlIKxoufbRqrBeySEwXOJs,123.500000,2811.000000,49.000000,0.583333,1,"
minimal: 0 / states: 128 / duration: 0.000133s
history:
/T4-F1-1 /T0-T2-1 /T2-T0-2 /T3-T2-1 /T3-T5-1 /T1-T5-1 /T3-T6-1 /T6-T3-2 /D:6     /W-T0-1  
/D:2     /W-T2-1  /D:1     /W-T4-1  /D:1     /W-T5-1  /D:1     /W-F1-1  /D:3     /W-T5-1  
/T6-T5-1 /D:2     /W-T6-1  /T2-T6-3 /T2-T5-1 /D:4     /W-T3-1  /T4-T3-2 /T4-T2-1 /T4-F2-1 
/T4-F3-1 /T6-F2-1 /T6-F1-1 /D:2     /W-F3-1  /D:2     /R       /D:1     /W-T0-1  /T5-T0-7 
/T5-T4-1 /T6-T5-3 /T6-F0-1 /T5-T3-4 /T5-F2-1 /T5-T1-1 /D:1     /W-F3-1  /D:2     /W-T2-1  
/D:2     /W-T2-1  /D:2     /W-F2-1  /D:1     /W-F0-1  /T0-F0-1 /T0-F3-1 /T3-F0-1 /W-F3-1  
/T0-F2-1 /D:1     /W-T4-1  /D:1     /W-F3-1  /T6-F3-1 /T6-F1-1 /T3-F1-1 /T0-F1-1 /T6-T5-1 
/D:1     /W-F0-1  /T3-F0-1 /T0-F0-1 /T0-F3-1 /T3-F1-1 /T5-F0-1 /W-F0-1  /T3-T5-1 /T3-F3-1 
/W-F3-1  /T1-T0-2 /T5-T3-2 /D:1     /W-F3-1  /D:1     /W-F0-1  /T0-T2-4 /T0-F0-1 /T0-F3-1 
/T3-T4-4 /T3-F0-1 /T2-T0-6 /T2-F0-1 /T4-T3-5 /T4-F3-1 /D:1     /W-F2-1  /T0-F2-1 /T0-F1-1 
/T3-F2-1 /T0-F2-1 /T3-F1-1 /T0-F1-1 /T3-F2-1 /T0-F2-1 /T3-F1-1 /T0-F1-1 /T3-F2-1 /T0-F2-1 
/T3-F1-1 
"
16010426,t#po#bZA#MUFI#qWvrx#sYBgQL#DmGROjn#XCuVSahPzEHwlJckiyeKfdTN,163.500000,2807.000000,52.000000,0.578125,1,"
minimal: 0 / states: 121 / duration: 0.000201s
history:
/T2-F0-1 /T6-F2-1 /T1-F2-1 /T5-T2-1 /T6-T4-1 /T6-T1-1 /T3-T4-1 /T6-T3-1 /T1-T5-2 /T2-T1-2 
/D:1     /W-T1-1  /D:4     /W-T0-1  /D:1     /W-F1-1  /T2-F1-1 /D:1     /W-T4-1  /T6-T4-1 
/T6-T2-1 /T6-T3-1 /D:1     /W-T3-1  /D:1     /W-T6-1  /D:1     /W-T0-1  /T5-T0-3 /T3-T5-4 
/T0-T3-6 /D:2     /W-T1-1  /D:1     /W-T6-1  /T4-T6-5 /D:2     /W-F1-1  /D:2     /W-T1-1  
/D:1     /W-T2-1  /W-T2-1  /W-T2-1  /W-T1-1  /T5-T1-5 /T5-F0-1 /W-T2-1  /W-T2-1  /W-F0-1  
/D:2     /W-T5-1  /D:1     /W-T6-1  /T4-T6-1 /T3-T4-7 /T5-T3-2 /W-T5-1  /D:1     /W-F1-1  
/T5-F1-1 /D:1     /W-T2-1  /T5-T2-1 /D:1     /W-F3-1  /T4-F3-1 /T1-F3-1 /T1-F0-1 /T4-F2-1 
/T4-F3-1 /T4-F0-1 /T1-F3-1 /T1-F0-1 /T4-F3-1 /T2-T1-1 /T2-F3-1 /T6-T4-2 /T6-F0-1 /T4-T6-3 
/T4-F3-1 /T1-T2-2 /T1-F0-1 /T2-T1-3 /T2-F3-1 /T6-T4-4 /T6-F0-1 /T4-T6-5 /T4-F3-1 /T4-F2-1 
/T6-F2-1 /T1-F2-1 /T6-F1-1 /T1-F1-1 /T6-F2-1 /T1-F2-1 /T6-F1-1 /T1-F1-1 /T2-F0-1 /T6-F2-1 
/T1-F2-1 /T1-F3-1 /T6-F1-1 /T2-F1-1 /T3-F0-1 /T1-F0-1 /T6-F2-1 /T2-F2-1 /T3-F3-1 /T1-F3-1 
/T6-F1-1 /T2-F1-1 /T3-F0-1 /T6-F2-1 
"
16010427,Z#RX#Erq#oIDc#SikOJ#hdWBPp#jKfnxlQ#seNyHTMVAYUFLgGmtbuvawCz,164.000000,3637.000000,58.000000,0.583333,1,"
minimal: 0 / states: 136 / duration: 0.000146s
history:
/T5-T6-1 /T4-T1-1 /T5-T2-1 /T4-T6-1 /T5-T2-1 /D:3     /W-F3-1  /T6-F3-1 /T2-T3-1 /T2-F3-1 
/T3-T2-2 /D:1     /W-T0-1  /T4-T0-1 /T4-T1-1 /D:1     /W-T1-1  /D:1     /W-T1-1  /D:3     
/W-F0-1  /T2-F0-1 /D:3     /W-T1-1  /D:6     /W-T6-1  /D:2     /W-T5-1  /D:1     /W-F1-1  
/T6-F1-1 /T2-F1-1 /D:1     /W-T0-1  /D:1     /W-F0-1  /T3-F0-1 /D:1     /R       /D:2     
/W-T1-1  /T2-T1-1 /T6-T2-2 /T2-T4-3 /T2-F0-1 /D:1     /W-T2-1  /T6-T2-1 /T6-T2-1 /T6-F2-1 
/T5-T2-2 /T5-F1-1 /T5-T2-1 /D:1     /W-T0-1  /D:2     /W-T3-1  /D:3     /W-T2-1  /T6-T2-1 
/D:1     /W-T5-1  /D:1     /W-T3-1  /T4-T3-4 /D:1     /W-T0-1  /W-T0-1  /W-T5-1  /T1-T5-8 
/T5-T1-1 /T5-F1-1 /T2-F1-1 /T0-F1-1 /T5-F0-1 /T2-F0-1 /T2-F1-1 /T5-T0-1 /T5-F0-1 /T3-T2-6 
/T3-F0-1 /T3-F2-1 /T2-F2-1 /T1-F2-1 /T2-F3-1 /T1-F3-1 /T2-F2-1 /T2-F3-1 /T0-F3-1 /T5-F1-1 
/T5-F0-1 /T6-F0-1 /T6-F1-1 /T0-T5-3 /T0-F1-1 /T5-T0-4 /T5-F0-1 /D:1     /W-T1-1  /T2-T1-6 
/T2-F0-1 /R       /D:1     /W-F2-1  /T1-F2-1 /T0-F2-1 /T1-F3-1 /T0-F3-1 /T1-F2-1 /T0-F2-1 
/T1-F3-1 /T0-F3-1 /T1-F2-1 /T0-F2-1 /T1-F1-1 /T5-F1-1 /T1-F2-1 /D:1     /W-F3-1  /T0-F3-1 
"
16010428,q#oX#fGE#FlcS#NnVMh#DUWKgy#QueJwId#BjCPrsptmAzkTYbZLHxRvaOi,147.000000,4280.000000,63.000000,0.509901,1,"
minimal: 0 / states: 135 / duration: 0.000138s
history:
/T6-T2-1 /T4-T6-1 /T2-T3-2 /T3-T2-3 /T3-T0-1 /T1-T5-1 /T2-T6-4 /T3-T4-1 /T1-T0-1 /T4-T1-2 
/D:3     /W-T6-1  /D:2     /W-T2-1  /D:5     /W-F0-1  /D:5     /W-T6-1  /D:3     /W-T4-1  
/D:1     /W-T1-1  /D:1     /W-T3-1  /T0-T3-3 /D:2     /W-F1-1  /T6-F1-1 /D:1     /W-T6-1  
/D:1     /R       /D:1     /W-F0-1  /D:1     /W-T1-1  /T6-T1-8 /T6-T5-1 /T4-T5-2 /T4-F2-1 
/T3-F2-1 /T3-F1-1 /T4-F3-1 /T1-F3-1 /T1-F0-1 /T1-F1-1 /D:1     /W-F3-1  /D:2     /W-F2-1  
/T3-F2-1 /T2-F2-1 /W-F2-1  /D:1     /W-F2-1  /D:1     /W-T0-1  /T5-T0-5 /T5-T0-1 /T3-T0-2 
/D:1     /W-T3-1  /D:3     /W-T3-1  /T5-T3-1 /T5-T3-1 /D:1     /W-T4-1  /D:1     /W-T4-1  
/D:1     /W-T3-1  /T5-T3-1 /T5-F0-1 /T1-F0-1 /D:1     /W-T6-1  /R       /D:1     /W-T4-1  
/T6-T4-2 /T6-F1-1 /T2-F1-1 /T6-F2-1 /T6-F3-1 /T0-F3-1 /T0-F0-1 /T0-F1-1 /T1-F3-1 /T1-F0-1 
/T1-F1-1 /T0-F0-1 /T4-F1-1 /T1-F0-1 /T1-F1-1 /T4-F0-1 /T4-F1-1 /T3-T1-3 /T3-F0-1 /T4-F0-1 
/T1-T3-4 /T1-F1-1 /T1-F0-1 /T0-T4-4 /T0-F1-1 /D:1     /W-F3-1  /T3-F3-1 /T3-F2-1 /T4-F3-1 
/T3-F3-1 /T4-F2-1 /T3-F2-1 /T4-F3-1 /T3-F3-1 /T4-F2-1 /T3-F2-1 /T4-F3-1 
"
16010429,d#eB#lEJ#KqMV#ZcLAu#CaGUgm#rDsRtNz#kpbXPfWYTQFIonvOjhiyxwSH,151.000000,1462.000000,60.000000,0.520833,1,"
minimal: 0 / states: 129 / duration: 0.000145s
history:
/T4-T3-1 /T4-F0-1 /T1-F0-1 /T3-T2-2 /T4-T5-1 /D:1     /W-T5-1  /T2-T5-3 /T0-T2-1 /T6-T0-1 
/T6-F3-1 /D:1     /W-T2-1  /D:1     /W-T2-1  /D:3     /W-T6-1  /T2-T6-4 /T2-T0-1 /T5-T2-6 
/T5-T2-1 /T6-T5-6 /D:2     /W-T3-1  /D:3     /W-T2-1  /T6-T2-1 /T1-T6-1 /T3-T1-2 /T3-T2-1 
/T4-T2-1 /T3-T0-1 /D:2     /W-T2-1  /D:1     /W-F2-1  /T2-F2-1 /D:2     /W-F3-1  /D:1     
/W-T0-1  /W-T0-1  /T5-T0-7 /D:3     /W-T4-1  /D:1     /W-T1-1  /D:2     /W-T5-1  /D:1     
/R       /D:1     /W-T4-1  /D:1     /W-F3-1  /D:1     /W-T1-1  /D:2     /W-F3-1  /T2-T6-2 
/T2-F3-1 /T5-F3-1 /W-F3-1  /D:1     /W-T1-1  /D:1     /W-T1-1  /T5-T1-1 /T5-F1-1 /T0-F1-1 
/T0-F2-1 /T5-F0-1 /T6-F1-1 /T0-F1-1 /T6-F2-1 /T6-F1-1 /D:2     /W-T4-1  /W-T4-1  /D:1     
/W-T4-1  /F3-T4-1 /T6-T4-1 /T6-F0-1 /T0-F0-1 /T2-F0-1 /T6-F2-1 /T0-F1-1 /T1-F0-1 /T4-F2-1 
/T0-F2-1 /T2-F1-1 /T1-F1-1 /T4-F3-1 /T0-F3-1 /T2-F2-1 /T0-F2-1 /T4-F0-1 /T1-F0-1 /T2-F3-1 
/T1-F3-1 /T4-F1-1 /T0-F1-1 /T2-F0-1 /T0-F0-1 /T4-F2-1 /T1-F2-1 /T2-F1-1 /T0-F1-1 /T4-F3-1 
/T1-F3-1 /T2-F0-1 /T1-F0-1 /T4-F2-1 /T0-F2-1 /T2-F1-1 /T4-F3-1 
"
16010430,B#Le#YzE#IvHU#MPoJG#itpbsd#ZKlwCQx#jOXgqRySAhmnTFDfcNuVkaWr,137.500000,3004.000000,49.000000,0.673469,1,"
minimal: 0 / states: 121 / duration: 0.000147s
history:
/T5-T2-1 /T4-T3-1 /T1-T5-1 /D:1     /W-T6-1  /D:2     /W-T1-1  /T4-T1-1 /D:2     /W-T5-1  
/D:3     /W-T3-1  /T2-T3-2 /D:1     /W-F0-1  /T0-F0-1 /T2-T0-1 /T6-T2-2 /T2-T0-3 /D:2     
/W-T2-1  /T1-T2-3 /D:1     /W-F2-1  /T4-F2-1 /T4-T5-1 /D:6     /W-F3-1  /D:2     /W-T2-1  
/W-T2-1  /D:2     /W-F1-1  /D:2     /R       /D:1     /W-F3-1  /T5-F3-1 /T6-F3-1 /T6-F0-1 
/D:1     /W-T2-1  /T5-T2-3 /T5-F1-1 /T5-F2-1 /T2-F2-1 /D:1     /W-F3-1  /D:5     /W-F0-1  
/D:1     /W-T5-1  /T3-T5-2 /T3-F3-1 /D:1     /W-F1-1  /T5-F1-1 /T2-F1-1 /T5-F0-1 /W-F0-1  
/T3-F0-1 /T5-T3-2 /T3-F1-1 /W-F3-1  /T5-T6-1 /D:3     /W-F2-1  /T2-F2-1 /T2-F1-1 /T3-F2-1 
/T2-F2-1 /T3-F3-1 /T3-F0-1 /T2-F3-1 /T3-F2-1 /T6-T2-1 /T6-F2-1 /T6-T4-1 /T6-T4-1 /T3-F0-1 
/W-F3-1  /T0-T4-1 /T0-F2-1 /R       /D:1     /W-F2-1  /D:1     /W-F1-1  /T2-F1-1 /T2-F0-1 
/T2-F3-1 /T4-F1-1 /T4-F0-1 /T0-F3-1 /T0-F2-1 /T2-F0-1 /T6-F3-1 /D:1     /W-F1-1  /T4-F1-1 
/T2-F1-1 /T4-F0-1 
"
