id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag
16010001,n#Lm#zpo#JjKl#feGih#sEvWqN#aAbtCQc#RgXHTDwUxuYMrZVFOBSIykPd,117.000000,1123.000000,35.000000,0.715190,1
16010422,p#rD#kRG#iznT#OjPKq#hufMaH#JIyXNWU#QCdblextVYFgvSZEwocAsLBm,164.500000,2979.000000,59.000000,0.562500,1
16010423,Q#aK#YPr#IRXf#tvFBC#GjOwqJ#NoLsbVm#MZxSylDThAEzeucWpgUkniHd,138.000000,4005.000000,56.000000,0.544444,1
16010424,O#Ju#oWn#ePYq#DVHwr#kyKmpv#ZhjBsTd#AcRCxMizXlGbNtgaIUQfLEFS,169.500000,2455.000000,53.000000,0.565000,1
16010425,Y#hG#CDz#mkUc#NnMVa#itpgZv#HdTAFQL#jPWlIKxoufbRqrBeySEwXOJs,123.500000,2811.000000,49.000000,0.583333,1
16010426,t#po#bZA#MUFI#qWvrx#sYBgQL#DmGROjn#XCuVSahPzEHwlJckiyeKfdTN,163.500000,2807.000000,52.000000,0.578125,1
16010427,Z#RX#Erq#oIDc#SikOJ#hdWBPp#jKfnxlQ#seNyHTMVAYUFLgGmtbuvawCz,164.000000,3637.000000,58.000000,0.583333,1
16010428,q#oX#fGE#FlcS#NnVMh#DUWKgy#QueJwId#BjCPrsptmAzkTYbZLHxRvaOi,147.000000,4280.000000,63.000000,0.509901,1
16010429,d#eB#lEJ#KqMV#ZcLAu#CaGUgm#rDsRtNz#kpbXPfWYTQFIonvOjhiyxwSH,151.000000,1462.000000,60.000000,0.520833,1
16010430,B#Le#YzE#IvHU#MPoJG#itpbsd#ZKlwCQx#jOXgqRySAhmnTFDfcNuVkaWr,137.500000,3004.000000,49.000000,0.673469,1
16010431,B#NG#hnd#QFbD#clEiP#YmfeMu#UgWtLsk#vpRXJHjrSzTZOyqoIVKwxACa,123.000000,2850.000000,37.000000,0.677632,1
16010432,Z#aL#RtJ#VfGh#ECobX#yiwzrc#eWdjsMp#vKAQPmluHnOSDkFNxgTBUIYq,142.500000,2269.000000,47.000000,0.605263,1
16010433,w#dt#xIa#PKQU#spfmH#DbhqiY#cEoeNnX#rVBTGjkZSAFOCWJgyLzMuvlR,125.000000,1230.000000,54.000000,0.582353,1
16010434,n#GL#zEa#SyfM#BQNgs#lxXwiP#WvquROC#AcoKUrmbpDFIdhjekHTJVtZY,186.500000,2886.000000,54.000000,0.566667,1
16010435,P#gt#efs#IaLu#dvWkR#BpoDYJ#UlwmOiN#VhyxrQKCjMGcbnSTZzXFEAHq,140.000000,2879.000000,48.000000,0.620879,1
16010436,R#Zm#eDn#OPUv#TMgNf#jdpBEJ#wXCAktc#zxIuLVoqYiGQSabsWHlrFhKy,112.000000,3570.000000,63.000000,0.528090,1
16010421,U#JZ#Suq#AzcR#OBwga#tenjVl#IdFMpDQ#KWfLTsNxGiPmEYCvyhkXbHro,124.500000,2926.000000,50.000000,0.564935,1
16010420,T#Gq#oJV#MPvX#ApmYt#WSQyRU#Okgazcx#edbKjHhBIDNfCrELinwusFZl,108.000000,2016.000000,40.000000,0.664062,1
16010419,x#hW#DtU#TzwH#feGmO#bYAXsP#oKanCkN#QrIuvSJVBZERljpiFqcLMygd,114.500000,1969.000000,60.000000,0.511364,1
16010418,c#wv#xJN#SKQs#kEAmD#OfqVPh#UgZejTl#pnzXCYoMuiadFHGryLtWRBbI,88.000000,1332.000000,33.000000,0.700000,1
16010402,j#HL#Tat#qpFx#DkguG#rbovEX#yfJmZeM#OhlcBViUWnYCsQAzPwNdRIKS,123.000000,1717.000000,64.000000,0.462366,1
16010403,z#Tp#hVO#XnJD#clGZQ#oIbERH#xaFsStM#ueLgdUYNCyvqBWwPmAKfrikj,141.000000,2076.000000,62.000000,0.494845,1
16010404,Y#TQ#pZW#HNca#GPByq#JMXxjK#SLrtVfz#nlmwkihDdOgEuIUvReoFsbCA,150.000000,1380.000000,51.000000,0.644860,1
16010405,K#di#GCD#yXrL#ukalc#qjHRNM#Zmegpot#AsnPFIExvWSfYBQzwTOUVJbh,150.000000,3201.000000,45.000000,0.613402,1
16010406,X#WZ#aRo#JGuN#FHwLT#qApgyh#KdMUBrx#fOSbPmizncYtlVkCsvQjeEID,117.500000,1507.000000,46.000000,0.615385,1
16010407,V#ih#zLa#sPTR#KmEYD#lvGtqc#HpIkSFu#eXWZAbOyxBUCJdjQMNnorwfg,111.500000,1099.000000,29.000000,0.730769,1
16010408,J#Pj#FEA#fyUN#hWtmg#vkiqQd#lcSTbHZ#GVwxDOXKnYBIopaMeCusLRrz,124.000000,744.000000,49.000000,0.608696,1
16010437,r#qz#VME#ocgl#YLNhK#dDCbUm#ZxjtXOy#IQHkBWPGRSTJuvsnaAfFpewi,169.000000,1620.000000,54.000000,0.558252,1
16010409,b#KF#jML#fyPt#UJOTa#wgiVrA#YDdEqvu#lxSnCXNIZszHpeRmGckoQWBh,127.000000,844.000000,46.000000,0.655914,1
16010411,x#hV#qYK#sJnW#lgwzT#MjSGpe#yuERFfv#NkrHCtiBaUoXLPZmObQcAdDI,135.000000,2135.000000,45.000000,0.644444,1
16010412,S#wl#kyP#NWaV#GFhXu#YBzfZm#xAeLtoE#iIQTrMsvbgHpnDcdKUJqjOCR,104.500000,1092.000000,44.000000,0.644737,1
16010413,O#ke#zqX#MJKs#rxCcy#iLjFUP#mhtZnYG#lAfpEWdagwTbRoQISVHuDvNB,184.000000,3485.000000,48.000000,0.590909,1
16010414,d#en#BtG#IuVb#afgoc#XZHAQl#EiyxFDC#KLNprOSzUPmYhTRqWjJMkvws,143.500000,3829.000000,53.000000,0.569149,1
16010415,p#ki#bTu#RNZA#JjwLn#BItHVU#eFlGQPM#vsfyxCEzrDXOaqmKgYhdWcoS,140.500000,3499.000000,55.000000,0.510870,1
16010416,X#Cy#haB#EGPr#MonjH#eQxbTA#fuvdcFV#sgZtRwUzYNDqKmWpLilJISOk,125.500000,814.000000,41.000000,0.728916,1
16010417,R#zf#nAM#KdbH#LVQJl#twSrpe#gXuOBDE#NYysZjaUIPciWmoqvxkFGhCT,110.000000,1501.000000,43.000000,0.696429,1
