id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag,result
4010001,r#GJ#OkS#XxUW#hNpza#tyTRsE#fmHVqCi#cZQDPuInALBvdjwYlKMgeobF,107.500000,1773.000000,50.000000,0.629032,1,"
minimal: 0 / states: 121 / duration: 0.000159s
history:
/T4-F1-1 /T6-T1-1 /T5-T2-1 /D:3     /W-T0-1  /T6-T0-1 /D:2     /W-T6-1  /D:1     /W-T1-1  
/D:1     /W-T3-1  /D:1     /W-F2-1  /D:1     /W-F0-1  /D:2     /W-F0-1  /T0-F0-1 /D:2     
/W-T2-1  /D:3     /W-T4-1  /D:2     /W-T4-1  /T3-T4-2 /T3-T4-1 /D:2     /W-T1-1  /T5-T1-1 
/T6-T5-2 /T5-T1-3 /D:2     /W-F2-1  /D:1     /W-F1-1  /D:1     /W-T5-1  /W-T5-1  /R       
/D:1     /W-F1-1  /T2-F1-1 /T5-F1-1 /D:2     /W-F0-1  /T2-F0-1 /T0-T2-2 /T4-T0-6 /T4-F2-1 
/T4-F3-1 /T5-F0-1 /D:3     /W-T3-1  /W-T3-1  /T4-T3-1 /D:3     /W-T4-1  /W-T4-1  /T3-T4-4 
/T1-T3-8 /T2-T1-3 /W-T2-1  /T6-T2-1 /T5-T6-1 /T6-T2-2 /T2-T5-5 /T2-F3-1 /T3-F3-1 /T1-F3-1 
/T3-F2-1 /T1-F2-1 /T3-F3-1 /T1-F3-1 /T3-F2-1 /T5-F3-1 /T5-T6-5 /T6-T2-6 /T6-F1-1 /T1-F0-1 
/T3-F1-1 /T2-F0-1 /T5-F2-1 /T0-F3-1 /T3-F2-1 /T2-F3-1 /T4-F1-1 /T0-F0-1 /T3-F1-1 /T3-F0-1 
/T4-F2-1 /T0-F3-1 /T2-F2-1 /T3-F3-1 /T4-F1-1 /T0-F0-1 /T2-F1-1 /T4-F2-1 /T0-F3-1 /T2-F2-1 
/T4-F1-1 /T0-F2-1 /W-F0-1  /T2-F1-1 /T4-F0-1 /W-F3-1  
"
4010002,r#Cy#Zzg#VKeh#PRJxI#jMWEBk#wcuitHd#qFfbLlNvsTUAaXYOoGDnmQpS,85.500000,1757.000000,44.000000,0.587838,1,"
minimal: 0 / states: 135 / duration: 0.000154s
history:
/T6-T0-1  /T5-T1-1  /T3-T4-1  /T2-T6-1  /D:1      /W-T3-1   /D:1      /W-T6-1   /T3-T6-2  /D:4      
/W-T2-1   /T3-T2-1  /T6-T3-5  /T6-T4-1  /D:1      /W-F3-1   /D:5      /W-F0-1   /T5-F0-1  /D:1      
/W-F1-1   /D:3      /W-F3-1   /D:4      /W-F2-1   /D:2      /W-T5-1   /D:1      /W-T0-1   /D:1      
/W-T4-1   /T5-T4-2  /T4-T5-6  /T5-T2-7  /R        /D:2      /W-F1-1   /D:7      /W-T5-1   /T4-T5-1  
/T6-T4-1  /T4-T1-2  /T6-T1-1  /T6-F1-1  /T3-T6-6  /T2-T3-10 /T1-T2-5  /T1-F0-1  /T5-T1-3  /T0-T3-1  
/T0-F1-1  /T6-T4-1  /T6-F1-1  /T4-T6-2  /T4-F3-1  /T5-T1-1  /D:1      /W-F2-1   /T3-F2-1  /T3-F3-1  
/T6-F2-1  /T0-F2-1  /T6-F3-1  /D:2      /W-F0-1   /T3-F0-1  /T3-F3-1  /T6-F0-1  /W-F0-1   /T6-T2-1  
/T6-F0-1  /D:1      /W-T0-1   /R        /D:1      /W-F1-1   /T2-F1-1  /D:1      /W-T0-1   /D:1      
/W-T1-1   /T3-T1-2  /T3-F0-1  /D:1      /W-F2-1   /T1-F2-1  /T1-F1-1  /T2-F2-1  /T2-F1-1  /T1-F2-1  
/T1-F1-1  /T2-F0-1  /T2-F1-1  /T3-T1-1  /T3-F0-1  /T0-F0-1  /T3-F1-1  /T0-F1-1  /T1-T3-3  /T1-F0-1  
/D:1      /W-F3-1   /D:1      /W-F3-1   /T6-F3-1  /T3-F3-1  /T6-F2-1  /T3-F2-1  /T2-F2-1  /D:1      
/W-F3-1   /T3-F3-1  /T2-F3-1  /T3-F2-1  
"
4010003,F#Oe#YgI#Upxv#DPdLf#lWwrji#VzZuMQs#qckSCmRTKGyohbAEHatXJNBn,118.500000,617.000000,55.000000,0.606481,0,"
minimal: 0 / states: 62604 / duration: 0.142329s
history:
/D:1     /W-T1-1  /D:1     /W-T1-1  /D:5     /W-T0-1  /D:5     /W-T1-1  /D:1     /W-T3-1  
/D:2     /W-F0-1  /D:1     /W-T4-1  /D:1     /W-T5-1  /D:1     /W-F1-1  /D:4     /W-F3-1  
/D:1     /W-F0-1  /D:1     /W-F2-1  /T1-F2-1 /T1-T6-3 /T1-F3-1 /R       /D:3     /W-F0-1  
/D:1     /W-T1-1  /D:1     /W-T5-1  /D:2     /W-T3-1  /D:2     /W-F1-1  /T6-F1-1 /T4-T3-2 
/T4-T1-1 /T4-F1-1 /T4-F3-1 /T4-F0-1 /T3-F0-1 /T6-T0-1 /T6-F1-1 /T3-F1-1 /T6-T5-1 /T6-F3-1 
/T6-T4-1 /T0-T5-2 /T0-F0-1 /T3-F0-1 /T5-T6-4 /T5-F0-1 /T2-F0-1 /T2-F1-1 /T3-F1-1 /T5-F1-1 
/T3-T5-1 /T3-T2-1 /T3-F2-1 /T6-F2-1 /T6-F3-1 /T5-T2-2 /T5-F2-1 /T6-F2-1 /D:1     /W-F2-1  
/D:1     /W-T1-1  /D:1     /W-F0-1  /R       /D:2     /W-F3-1  /T6-F3-1 /T3-F3-1 /T6-F2-1 
/T2-F2-1 /T2-F1-1 /T5-F2-1 /T2-F2-1 /T6-T0-1 /D:2     /W-F2-1  /T6-F2-1 /T6-F3-1 /T5-F3-1 
/T1-F3-1 /T2-F3-1 /T0-F3-1 /R       /D:1     /W-F1-1  /T5-F1-1 /D:1     /W-F0-1  /T1-F0-1 
/T1-F1-1 /T4-F0-1 
"
4010004,i#dN#wDB#Vbky#GZqpF#YmuzES#MURAPJa#sjCtefXrHcWlohgOvnILxTKQ,117.500000,179.000000,49.000000,0.605505,0,"
minimal: 0 / states: 497057 / duration: 1.223863s
history:
/T1-F3-1 /T6-F1-1 /D:3     /W-T1-1  /D:2     /W-T4-1  /D:2     /W-T3-1  /T6-T3-1 /D:1     
/W-T5-1  /D:1     /W-T0-1  /D:4     /W-T6-1  /D:2     /W-T0-1  /D:1     /W-F3-1  /D:2     
/W-F2-1  /T6-F2-1 /T6-F3-1 /T6-F0-1 /T2-F0-1 /T1-F0-1 /T2-F0-1 /T4-T0-2 /T4-F2-1 /T4-F2-1 
/T5-F2-1 /D:2     /W-T4-1  /D:4     /W-F3-1  /T6-F3-1 /T5-F3-1 /T5-F0-1 /R       /D:1     
/W-F2-1  /D:2     /W-F2-1  /T0-T2-5 /T5-T0-1 /T5-F2-1 /T3-T5-3 /T3-T4-1 /T3-F1-1 /T3-T5-1 
/T4-T3-3 /D:1     /W-T4-1  /D:1     /W-F1-1  /T1-F1-1 /T2-F1-1 /T2-F0-1 /T4-F1-1 /T2-F1-1 
/T4-F0-1 /T2-F0-1 /D:2     /W-T0-1  /D:1     /W-F1-1  /T2-F1-1 /D:1     /W-F2-1  /T2-F2-1 
/D:1     /W-F0-1  /D:1     /W-F2-1  /D:1     /W-F3-1  /T6-F3-1 /T5-F3-1 /T5-F0-1 /D:1     
/W-F0-1  /R       /D:1     /W-F1-1  /T3-F1-1 /T0-F1-1 /T3-F0-1 /T6-F0-1 /D:1     /W-F3-1  
/T5-F3-1 /T5-F2-1 /T0-F2-1 /T5-F1-1 /T5-F3-1 /T3-F3-1 
"
4010005,B#SK#QUY#XOmt#MGNVz#CxjvWi#eHqEDwI#bLFPguRdoTJynacsAlkrpfhZ,111.500000,276.000000,59.000000,0.536697,0,"
minimal: 0 / states: 11284477 / duration: 41.939103s
history:
/T2-T4-1 /T3-T2-1 /D:2     /W-T3-1  /D:4     /W-T5-1  /D:4     /W-T5-1  /D:3     /W-F2-1  
/D:1     /W-F1-1  /D:3     /W-F0-1  /T0-F0-1 /T2-T6-2 /T4-T0-2 /T1-T0-1 /D:2     /W-T3-1  
/D:1     /W-T1-1  /D:1     /W-T2-1  /D:1     /W-T6-1  /D:2     /R       /D:1     /W-F1-1  
/D:1     /W-T5-1  /D:3     /W-T5-1  /D:1     /W-T1-1  /D:1     /W-F2-1  /T2-F2-1 /D:1     
/W-T3-1  /D:2     /W-F1-1  /T1-F1-1 /T5-T3-5 /T6-T5-4 /T4-T6-1 /T4-F3-1 /T1-T4-2 /T3-T1-9 
/T3-F3-1 /T6-T3-2 /T6-T1-1 /T6-T5-1 /T6-F2-1 /T4-F2-1 /D:1     /W-F2-1  /T6-T3-1 /T6-F1-1 
/T5-T4-1 /T5-F1-1 /T5-F2-1 /T5-T0-3 /D:2     /W-T5-1  /D:1     /W-T6-1  /R       /D:1     
/W-F3-1  /T2-F3-1 /D:1     /W-F1-1  /T5-F1-1 /T1-T3-4 /T1-F2-1 /T1-F1-1 /T5-F2-1 /T5-F1-1 
/T3-T1-6 /T3-F2-1 /T5-F2-1 /T5-F0-1 /T1-F0-1 /T1-F3-1 /T4-F0-1 /T1-F0-1 /T4-F3-1 /T1-F3-1 
/T0-F3-1 /T4-F0-1 /T1-F0-1 /T0-F0-1 /T1-F3-1 /T0-F3-1 /T1-F0-1 /T0-F0-1 /T1-F1-1 /T1-F0-1 
/T3-F3-1 /T0-F3-1 /T4-F0-1 /T6-F3-1 /D:1     /W-F2-1  /T0-F2-1 /D:1     /W-F1-1  /T1-F1-1 
"
4010006,c#bF#dtl#jihD#BAmZa#eTkLfM#yXgVRIG#qzrvUoQHNSWpJCOPsxKYEnwu,160.500000,1156.000000,56.000000,0.588983,0,"
minimal: 0 / states: 395516 / duration: 0.990048s
history:
/T4-F1-1 /T0-T3-1 /T5-T0-1 /D:3     /W-T5-1  /D:3     /W-T3-1  /D:1     /W-T5-1  /D:2     
/W-F3-1  /T5-T6-3 /D:3     /W-T6-1  /D:3     /W-F3-1  /D:1     /W-F3-1  /T5-T4-1 /T5-T4-1 
/D:1     /W-T5-1  /D:2     /W-T2-1  /D:3     /W-F2-1  /T3-F2-1 /T6-F2-1 /T6-F3-1 /T2-T0-2 
/D:1     /W-T4-1  /D:1     /R       /D:1     /W-F2-1  /T6-F2-1 /T5-F2-1 /T2-F2-1 /T1-T5-1 
/T1-F1-1 /T3-F1-1 /T2-F1-1 /T4-T1-4 /T4-T2-1 /T4-F0-1 /T4-F0-1 /D:1     /W-T4-1  /D:5     
/W-T0-1  /D:2     /W-F0-1  /T3-F0-1 /D:3     /W-F0-1  /T5-F0-1 /D:1     /W-F2-1  /R       
/D:1     /W-F2-1  /T1-F2-1 /T6-T3-2 /T6-T0-1 /T6-F3-1 /D:3     /W-F3-1  /T5-F3-1 /T5-F1-1 
/T3-F1-1 /T3-F0-1 /D:1     /W-T1-1  /D:1     /W-F2-1  /T6-T1-1 /T6-F1-1 /T3-F1-1 /T3-F1-1 
/T3-F1-1 /D:1     /W-T4-1  /R       /D:1     /W-F3-1  /T1-F3-1 /D:1     /W-F0-1  /T0-F0-1 
/T0-F3-1 /T1-F0-1 /T0-F0-1 /T1-F1-1 /T0-F1-1 /T1-F0-1 /T6-F3-1 /T0-F0-1 /T2-F1-1 /T4-F3-1 
/T1-F3-1 /T6-F2-1 /T4-F2-1 
"
4010007,C#wO#Lks#aQqS#BmxNI#JbiRpT#WYyfAKg#EzrlvXnZFodutMUjVeDGhcHP,145.000000,1291.000000,65.000000,0.573770,0,"
minimal: 0 / states: 11401361 / duration: 25.980831s
history:
/T1-T0-1 /T2-T5-1 /T1-T2-1 /D:2     /W-T1-1  /D:1     /W-T3-1  /D:1     /W-T1-1  /D:3     
/W-F2-1  /D:2     /W-T6-1  /D:1     /W-F2-1  /D:5     /W-T4-1  /D:2     /W-T2-1  /D:1     
/W-T6-1  /D:1     /W-T6-1  /D:4     /W-T2-1  /T5-T2-2 /T5-F2-1 /T5-T2-1 /D:1     /W-T6-1  
/R       /D:6     /W-T5-1  /T6-T5-5 /T6-T1-1 /T6-F0-1 /D:1     /W-T4-1  /T3-T4-2 /T3-F2-1 
/T4-F2-1 /D:2     /W-T1-1  /T4-T1-4 /T4-F3-1 /T0-F3-1 /T5-F3-1 /T3-F3-1 /T3-F1-1 /T2-F3-1 
/T1-F3-1 /T2-F2-1 /T1-F2-1 /T2-F3-1 /T1-F3-1 /T5-T2-4 /T5-F2-1 /T2-T5-5 /T2-F3-1 /T5-T2-6 
/T5-F1-1 /D:2     /W-T1-1  /D:1     /W-F1-1  /R       /D:1     /W-T6-1  /D:1     /W-F2-1  
/T2-T5-6 /T2-F2-1 /T4-F2-1 /T4-T3-1 /T4-F0-1 /T0-F0-1 /T5-F0-1 /T6-F0-1 /D:2     /W-T0-1  
/D:1     /W-F1-1  /T5-F1-1 /T5-F0-1 /T6-F1-1 /T5-F1-1 /T1-F1-1 /T6-F2-1 /D:2     /W-F0-1  
/T5-F0-1 /T1-F0-1 /T5-F1-1 /T1-F1-1 /T2-F1-1 /T5-F0-1 /T1-F0-1 /T1-F1-1 /T2-F0-1 /T3-F1-1 
/T6-T1-1 /T6-F3-1 /R       /D:1     /W-F3-1  /T1-F3-1 /T0-F3-1 /T1-F2-1 /D:1     /W-F0-1  
"
4010008,y#NK#TeA#YkOc#fSXvV#FzbrdW#oPGUhsn#jZwqQIRJMBLDpEtaxlguimHC,87.500000,122.000000,50.000000,0.591954,0,"
minimal: 0 / states: 2513953 / duration: 5.518228s
history:
/T2-F0-1 /T6-F2-1 /T2-T6-1 /T6-T2-2 /D:4     /W-T2-1  /D:2     /W-T5-1  /T5-T1-2 /D:4     
/W-F0-1  /D:3     /W-T5-1  /D:2     /W-T6-1  /D:1     /W-F1-1  /T3-T2-1 /T3-T5-1 /T3-T0-1 
/D:1     /W-T3-1  /D:3     /W-T4-1  /T2-T4-5 /D:2     /W-T2-1  /D:2     /W-F0-1  /R       
/D:1     /W-T3-1  /D:5     /W-T0-1  /D:2     /W-T2-1  /D:1     /W-F0-1  /T4-T0-7 /T4-T3-1 
/T4-T2-1 /T6-T3-2 /D:1     /W-T4-1  /T5-T4-3 /T6-T1-1 /T4-T5-3 /T4-F0-1 /T5-T4-4 /T5-F1-1 
/T0-F1-1 /D:1     /W-T5-1  /T1-T5-4 /T1-F3-1 /T4-F3-1 /T5-T1-6 /T5-F0-1 /T6-F0-1 /T6-F3-1 
/T6-F2-1 /T4-F2-1 /T0-F2-1 /T4-F1-1 /T0-F1-1 /T4-F2-1 /T0-F2-1 /T4-T3-1 /T4-F1-1 /D:1     
/W-F1-1  /T3-T1-2 /T3-F1-1 /D:1     /W-F1-1  /D:1     /W-F0-1  /R       /D:3     /W-F3-1  
/D:1     /W-F3-1  /T1-F3-1 /T0-F3-1 /T1-F2-1 /T0-F2-1 /T1-F3-1 /T0-F3-1 /T1-F0-1 /T0-F0-1 
/T1-F3-1 /T3-F2-1 /T1-F0-1 /T2-F3-1 /T3-F1-1 /T0-F1-1 /T2-F0-1 /D:1     /W-F0-1  /T3-T1-1 
/T3-F3-1 /R       /D:1     /W-F3-1  /D:1     /W-F2-1  /T1-F2-1 /T0-F2-1 /T1-F1-1 /T1-F2-1 
/T2-F1-1 
"
4010009,d#GH#zyA#eJlm#TqXaI#xrYsCo#VQKwiWR#FtfOjBDNPpLhUZvcuMkSngEb,139.000000,2051.000000,56.000000,0.531915,1,"
minimal: 0 / states: 126 / duration: 0.000129s
history:
/T2-F0-1 /T2-T3-1 /D:6     /W-F0-1  /D:1     /W-T6-1  /D:1     /W-F3-1  /D:1     /W-T6-1  
/T5-T6-1 /T5-F0-1 /T6-T5-4 /T4-T6-1 /T4-F1-1 /T4-T3-1 /T5-T4-2 /T5-F0-1 /T4-T5-3 /T5-T4-5 
/T5-T2-1 /T0-T5-1 /T3-T0-3 /T4-T1-6 /D:1     /W-T5-1  /D:2     /W-T6-1  /D:2     /W-T4-1  
/D:7     /W-F2-1  /T1-F2-1 /T5-F2-1 /D:2     /W-F0-1  /D:1     /W-F1-1  /R       /D:1     
/W-F0-1  /D:1     /W-T6-1  /D:1     /W-T6-1  /T5-T6-2 /T6-T5-7 /T1-T6-6 /T1-F0-1 /T5-T2-8 
/D:1     /W-F3-1  /T6-F3-1 /T6-F2-1 /D:2     /W-T4-1  /D:3     /W-F1-1  /T2-F1-1 /T2-F2-1 
/D:2     /W-T1-1  /T3-T1-1 /T6-T3-5 /T6-T0-1 /T6-T1-1 /T6-F3-1 /T3-F3-1 /T3-F2-1 /W-T6-1  
/T3-T6-1 /T3-F0-1 /T6-T0-3 /D:1     /W-T4-1  /T3-T4-2 /T3-F1-1 /T2-F1-1 /T2-F2-1 /D:1     
/W-F3-1  /T0-F3-1 /T0-F2-1 /W-F2-1  /W-F3-1  /T0-F3-1 /T0-F2-1 /T2-T1-3 /T2-F2-1 /D:1     
/W-F1-1  /T1-F1-1 /T1-F0-1 /T1-F3-1 /T4-F1-1 /T4-F0-1 /T0-F3-1 /W-F1-1  /T1-F0-1 /T2-F3-1 
/T4-F1-1 /T0-F2-1 /T1-F1-1 /T2-F2-1 /T4-F0-1 /T0-F1-1 /T1-F0-1 /T4-F3-1 
"
4010010,Y#fd#bTB#WPrt#ZSVOg#KNUmJi#LHcFnyp#RGsvQDowAaqluExIMzjhCekX,126.000000,4095.000000,58.000000,0.521978,1,"
minimal: 0 / states: 131 / duration: 0.000149s
history:
/T6-T1-1 /D:3     /W-T4-1  /D:6     /W-F0-1  /T2-F0-1 /D:1     /W-F1-1  /D:3     /W-T5-1  
/T4-T5-2 /T4-T1-1 /D:2     /W-T0-1  /D:4     /W-T0-1  /D:2     /W-F0-1  /D:1     /W-T5-1  
/D:1     /W-T6-1  /D:1     /R       /D:3     /W-T0-1  /D:2     /W-F0-1  /D:2     /W-T6-1  
/T5-T6-5 /T4-T5-1 /T4-T3-1 /T6-T4-8 /T6-F2-1 /W-F2-1  /T6-T2-1 /F0-T4-1 /T6-T4-1 /T2-T6-2 
/T2-F1-1 /T4-F1-1 /T6-T5-3 /T4-F0-1 /D:1     /W-T4-1  /D:2     /W-T3-1  /T1-T3-3 /D:2     
/W-T2-1  /T0-T2-4 /D:1     /W-T0-1  /D:1     /W-T2-1  /T3-T2-6 /T3-T1-1 /T3-T4-1 /T2-T1-3 
/T2-F0-1 /T5-F0-1 /W-T3-1  /W-T0-1  /D:1     /W-T6-1  /T5-T6-4 /T6-T5-6 /T5-T6-7 /T5-T3-1 
/T5-F3-1 /T1-F3-1 /T1-F2-1 /T1-F1-1 /T4-F3-1 /T4-F2-1 /T4-F1-1 /W-F3-1  /T1-F2-1 /T1-F1-1 
/T4-F2-1 /T4-F1-1 /W-F0-1  /W-F3-1  /T2-F3-1 /T2-F2-1 /T2-F1-1 /T6-F3-1 /T3-F3-1 /T4-F2-1 
/T2-F2-1 /T6-F0-1 /T3-F0-1 /T4-F1-1 /T2-F1-1 /T6-F3-1 /T3-F3-1 /T4-F2-1 /T2-F2-1 /T6-F0-1 
/T4-F1-1 /T5-F0-1 /T0-F1-1 /T6-F3-1 /T2-F3-1 /T4-F2-1 /T0-F2-1 /T6-F0-1 /T2-F0-1 /T4-F3-1 
/T6-F1-1 
"
